label,x,y,z
COM,0.060502738229135336,0.04186193898853384,0.2892559906069549
E1,-0.07900801636902655,0.12865900636672567,0.2019959917382301
E10,-0.0950396846590164,0.08876025309089253,0.2781159222304189
E100,0.028121315915355088,0.13133001940537428,0.1700883207034549
E101,0.03423794204151213,0.1335900902629101,0.18666572264393722
E102,0.02296696745175439,0.13946149886245612,0.22802674111263158
E103,0.016975775366104867,0.13557880702996253,0.26145891196872656
E104,0.011689430554033771,0.11533472243358349,0.28906865789380864
E105,0.003699315221062271,0.09380651433956044,0.311891204096337
E106,-0.006566052928598848,0.0634265396815739,0.31638819858272554
E107,0.005990323842565056,0.12871770358401488,0.14069000856171002
E108,0.007426550611580883,0.14134376382371325,0.20125386374246323
E109,-0.004091350250559702,0.14267712767089552,0.23498225922126864
E11,-0.08442060857196429,0.05526156325071428,0.2948234883932143
E110,-0.009037082661977187,0.13188776734125476,0.2716091137102662
E111,-0.014375472824157303,0.10712363779101124,0.2970464313687266
E112,-0.023629480009386975,0.08262416409022989,0.3088202790279693
E113,-0.024986778153321034,0.13820434598690037,0.15157088581346864
E114,-0.03155093939785933,0.14156576724785933,0.18140086912844036
E115,-0.0182067304990458,0.14278259017519085,0.21141327033874044
E116,-0.029478744524339625,0.13931648464018867,0.24741388241396223
E117,-0.03501920406772388,0.1224098946033582,0.2803190052753731
E118,-0.04504768229832714,0.09721270067695167,0.2986922358213755
E119,-0.05720441107763636,0.13264251021163637,0.14425022969254545
E12,-0.06064292850437262,0.03883771518441065,0.3021544943125475
E120,-0.054648346954072786,0.1353177747812825,0.16318437581611786
E121,-0.0522635840921288,0.13730740063202146,0.18959425952397138
E122,-0.04949641249708561,0.1381747994176685,0.22483020457686703
E123,-0.05513303843941606,0.12915365014233576,0.26037763014744525
E124,-0.05904416236534296,0.10994364003212996,0.28206542864241874
E125,-0.0806765166197509,0.12720537691601422,0.17763892618825622
E128,-0.09262780575808824,-0.0064224196722426465,0.1797990161694853
E13,-0.03422605026149426,0.022001079077203063,0.30238787072279694
E14,-0.1220254915881416,0.0846804628139823,0.23165044829522122
E15,-0.11866260774981818,0.06332845023981819,0.25628891140927273
E16,-0.10518985526738352,0.061673304668638,0.27870483153799286
E17,-0.13035479320833335,0.06472917698218392,0.21994550355847703
E18,-0.1020747641023941,0.035141743566298345,0.27244640206279924
E19,-0.08136009393608058,0.02726450061410256,0.28739035793553114
E2,-0.07759462750276816,0.1275411571733564,0.23756804529550174
E20,-0.05605271633375451,0.01246579819566787,0.29011438857671484
E21,-0.12538233009609664,0.04454192677936803,0.23142798296096653
E22,-0.11009949075766062,0.02326663262273476,0.24805198358088962
E23,-0.09283368595878377,0.009522366387668919,0.26325805519695944
E24,-0.07247278339911503,0.004470667646371681,0.27246174538530976
E25,-0.10998868671297209,0.00664837850410509,0.21733187338719215
E26,-0.08740892149107143,-0.005285315993005952,0.23094428467842262
E27,-0.07305100248097826,-0.011315614084782608,0.24840170017626811
E28,-0.052378257290161004,-0.011884861977459749,0.2673106461379249
E29,-0.02833510200638686,-0.004159184035218979,0.28414777446186135
E3,-0.081172373315,0.10900937402314816,0.2705806597764815
E30,-0.009686444293895872,0.0033807550332136446,0.2990909188229803
E31,0.017435759010018554,0.02025935673896104,0.30585834469128015
E32,-0.09294296319419644,-0.0075717865243303565,0.20145911850401785
E33,-0.06449210283297101,-0.019278538391847826,0.21605422933550725
E34,-0.05160719167481482,-0.02349111585314815,0.23106439947888888
E35,-0.030647366110076044,-0.024575762703992397,0.25313852636045625
E36,-0.011609621045970697,-0.01587244906355311,0.27270511144175824
E37,0.019708739101682242,-0.0033408890728971966,0.29177688772392524
E38,-0.06921555269406475,-0.021380115528057554,0.1865628430464029
E39,-0.036566991074199626,-0.02791537332824859,0.19787977472410545
E4,-0.07611714739779817,0.08540617269577981,0.2931774663627523
E40,-0.0270118701432282,-0.029521753703710577,0.22225790740426715
E41,-0.0039346689336483935,-0.029821417968809074,0.24334809360396975
E42,0.020219744568809074,-0.02290259853459357,0.2586495354446125
E43,-0.07028903509424779,-0.020865666100176993,0.15891963468814158
E44,-0.049682509428546406,-0.027342066020140107,0.17568083257950964
E45,-0.0123273842489011,-0.03320545194725275,0.18640710981923075
E46,-0.0005670238549632352,-0.03305432623308824,0.2149258729411765
E47,0.01731932447250471,-0.028788239189077212,0.2329381895163842
E49,-0.038626371507992564,-0.024533143399814127,0.15438040427137548
E5,-0.05966814319273743,0.069920463841527,0.3057976567048417
E50,0.014961450036775362,-0.032251482729528984,0.180504039225
E51,0.030408725950280376,-0.026992542474392523,0.20954122377401868
E52,0.04216904493046875,-0.02138924207285156,0.23450073888652342
E53,0.04496322194386618,-0.010558066599442379,0.2642865322239777
E54,0.04647807155493482,0.013568358146368715,0.2897317432031657
E55,0.03777924039121495,0.04165746580766355,0.30353717111514017
E56,0.07572838791883496,0.03562016766252427,0.15031806855320387
E57,0.017856354007282416,-0.025240939341563056,0.16469026024866787
E58,0.03980516974143646,-0.019891986231675873,0.17981121120644566
E59,0.053646706339770554,-0.016914733829063097,0.20463345094837476
E6,-0.03948785979818512,0.053380392336660615,0.3118008440212341
E60,0.06408813384335793,-0.007563021469188192,0.23651628123745386
E61,0.06822646943932584,0.011484947282209737,0.26455937666067414
E62,0.08143066285231912,0.039836092708534325,0.2608628396773655
E63,0.01617093695862069,-0.012036309172030652,0.13344548677988505
E64,0.04000720156871508,-0.014418641234078213,0.15817296709944134
E65,0.0627838074454717,-0.0038321764586792457,0.17710319056943397
E66,0.07514917424834558,0.0005832098126838235,0.20917812881029413
E67,0.08024334332931354,0.01593428802671614,0.23885463435009277
E68,0.041124821368207026,0.004947156943992606,0.1264893533051756
E69,0.06422307404370504,0.008196295333453237,0.15045270818183454
E7,-0.011988298198537478,0.03289161960877514,0.31156073804405854
E70,0.08103925436343694,0.020541171754661792,0.17636485954241315
E71,0.0889443794839416,0.025134532080291972,0.21254094577572993
E72,0.09021386659868669,0.040347525315197,0.2340290229859287
E73,0.05584935063514563,0.026232014201165048,0.11975851240252428
E75,0.08772326979754254,0.04453282781852552,0.17925629431852552
E76,0.09342735023462247,0.05776860321381216,0.21499752664880295
E77,0.08755248768983363,0.0665531674900185,0.24447808236857668
E78,0.0748097912139313,0.06918358899103054,0.2710648647748091
E79,0.05509936815288641,0.07036444404134079,0.29951574575325884
E8,-0.10106519108484288,0.11703766893271718,0.21312461843789277
E80,0.023773902716949152,0.06929874843050848,0.31246204723917137
E81,0.06608192173309559,0.045766639489301,0.12759016049557775
E82,0.07864848192884956,0.06273250693150442,0.1496296238860177
E83,0.08816666864368031,0.07133304054609665,0.17961673293066915
E84,0.08859614448061041,0.08547762276283662,0.21539333689263915
E85,0.07661278329836066,0.09746771647049181,0.24386339654262296
E86,0.06043294509305302,0.09705186221060329,0.2758513400330896
E87,0.03191682441024209,0.09304231446387337,0.3027687489856611
E88,0.06165004283922652,0.07432722574622468,0.12080161089171271
E89,0.07269658831141805,0.08965391467790054,0.15047717023591162
E9,-0.10657879779019264,0.10099705139246935,0.2527943271024518
E90,0.07791640380171429,0.09880123330038096,0.1820481259975238
E91,0.07326264929092592,0.11074113247166666,0.21848439041537035
E92,0.061347824924464285,0.11669722801285715,0.25393075865642856
E93,0.03922908417041742,0.11836548338366608,0.2750531022782214
E94,0.05125817644766839,0.09832394036822108,0.1278280306552677
E95,0.05494380142689655,0.11636724895103448,0.16141197600413792
E96,0.06125421679180328,0.12169954647249545,0.18981008825701273
E97,0.05249567966957329,0.12859343386883115,0.22415117477792207
E98,0.04025209913128491,0.13105652892849162,0.24835880550521416
E99,0.028862128798375453,0.11743664384837545,0.13485857785288807
VREF,0.01312374244086629,0.04537205755894539,0.31266370932937854
